Ursus arctos arctos,European Brown Bear
Lynx lynx,Eurasian Lynx
Felis silvestris silvestris,Scottish Wildcat
Aonyx cinereus,Asian Small-clawed Otter
Canis lupus lupus,Eurasian Grey Wolf
Axis axis,Axis Deer
Rucervus duvaucelii,Barasingha Deer
Cervus hanglu bactrianus,Bactrian Deer
Alces alces alces,European Elk
Dama dama,Fallow Deer
Axis porcinus,Hog Deer
Elaphurus davidianus,Père David's Deer
Cervus elaphus,Red Deer
Muntiacus reevesi,Reeves' Muntjac Deer
Cervus nippon,Sika Deer
Rangifer tarandus,Tundra Reindeer
Cervus canadensis,Wapiti
Cervus albirostris,White-Lipped Deer
Falco sparverius,American Kestrel
Falco tinnunculus,Eurasian Kestrel
Bubo bubo,Eurasian Eagle Owl
Phalcoboenus australis,Striated Caracara
Parabuteo unicinctus,Harris Hawk
Falco biarmicus,Lanner Falcon
Falco jugger,Lugger Falcon
Falco cherrug,Saker Falcon
Bubo scandiacus,Snowy Owl
Strix aluco,Tawny Owl
Bos taurus,Scottish Highland Cattle
Pantherophis guttatus,Corn Snake
Achatinidae,Giant African Snail
